hs6,sitc3,lall_code
081060,05798,LDC01
081070,05798,LDC01
081090,05798,LDC01
081110,05831,LDC02
081120,05832,LDC02
081190,05839,LDC02
081210,05821,LDC02
081290,05821,LDC02
081310,05799,LDC01
081320,05799,LDC01
081330,05799,LDC01
081340,05799,LDC01
081350,05799,LDC01
081400,05822,LDC02
090111,07111,LDC01
090112,07112,LDC01
090121,0712,LDC01
090122,0712,LDC01
090190,07132,LDC01
090210,07411,LDC01
090220,07412,LDC01
090230,07413,LDC01
090240,07414,LDC01
090300,07431,LDC01
090411,07511,LDC01
090412,07512,LDC01
090421,07513,LDC01
090422,07513,LDC01
090510,07521,LDC01
090520,07521,LDC01
090611,07522,LDC01
090619,07522,LDC01
090620,07523,LDC01
090710,07524,LDC01
090720,07524,LDC01
090811,07525,LDC01
090812,07525,LDC01
090821,07525,LDC01
090822,07525,LDC01
090831,07525,LDC01
090832,07525,LDC01
090921,07526,LDC01
090922,07526,LDC01
090931,07526,LDC01
090932,07526,LDC01
090961,07526,LDC01
090962,07526,LDC01
091011,07527,LDC01
091012,07527,LDC01
091020,07528,LDC01
091030,07529,LDC01
091091,07529,LDC01
091099,07529,LDC01
100111,0411,LDC01
100119,0411,LDC01
100191,0412,LDC01
100199,0412,LDC01
100210,0451,LDC01
100290,0451,LDC01
100310,0430,LDC01
100390,0430,LDC01
100410,0452,LDC01
100490,0452,LDC01
100510,0441,LDC01
100590,0449,LDC01
100610,0421,LDC01
100620,0422,LDC01
100630,04231,LDC01
100640,04232,LDC01
100710,0453,LDC01
100790,0453,LDC01
100810,04592,LDC01
100821,04591,LDC01
100829,04591,LDC01
100830,04593,LDC01
100840,04599,LDC01
100850,04599,LDC01
100860,04599,LDC01
100890,04599,LDC01
110100,0461,LDC02
110220,04711,LDC02
110290,04719,LDC02
110311,0462,LDC02
110313,04721,LDC02
110319,04722,LDC02
110320,0462,LDC02
110412,04813,LDC02
110419,04813,LDC02
110422,04814,LDC02
110423,04814,LDC02
110429,04814,LDC02
110430,04815,LDC02
110510,05641,LDC02
110520,05642,LDC02
110610,05646,LDC02
110620,05647,LDC02
110630,05648,LDC02
110710,0482,LDC02
110720,0482,LDC02
110811,59211,LDC03
110812,59212,LDC03
110813,59213,LDC03
110814,59214,LDC03
110819,59215,LDC03
110820,59216,LDC03
110900,59217,LDC03
120110,2222,LDC01
120190,2222,LDC01
120230,22212,LDC01
120241,22211,LDC01
120242,22212,LDC01
120300,2231,LDC01
120400,2234,LDC01
120510,22261,LDC01
120590,22261,LDC01
120600,2224,LDC01
120710,2237,LDC01
120721,2223,LDC01
120729,2223,LDC01
120730,2237,LDC01
120740,2225,LDC01
120750,22262,LDC01
120760,2237,LDC01
120770,2237,LDC01
120791,2237,LDC01
120799,2237,LDC01
120810,2239,LDC01
120890,2239,LDC01
120910,29251,LDC01
120921,29252,LDC01
120922,29252,LDC01
120923,29252,LDC01
120924,29252,LDC01
120925,29252,LDC01
120929,29252,LDC01
120930,29253,LDC01
120991,29254,LDC01
120999,29259,LDC01
121010,05484,LDC01
121020,05484,LDC01
121120,29242,LDC01
121130,29249,LDC01
121140,29249,LDC01
121190,29249,LDC01
121221,29297,LDC01
121229,29297,LDC01
121291,05487,LDC01
121292,05489,LDC01
121293,05489,LDC01
121294,05489,LDC01
121299,05489,LDC01
121300,08111,LDC01
121410,08112,LDC01
121490,08113,LDC01
130120,29222,LDC01
130190,29229,LDC01
130211,29294,LDC01
130212,29294,LDC01
130213,29294,LDC01
130219,29294,LDC01
130220,29295,LDC01
130231,29296,LDC01
130232,29296,LDC01
130239,29296,LDC01
140110,29231,LDC01
140120,29232,LDC01
140190,29239,LDC01
140420,2632,LDC01
140490,29299,LDC01
150110,4112,LDC03
150120,4112,LDC03
150190,4112,LDC03
150210,41132,LDC03
150290,41132,LDC03
150300,41133,LDC03
150410,41111,LDC03
150420,41112,LDC03
150430,41113,LDC03
150500,41135,LDC03
150600,41139,LDC03
150710,42111,LDC02
150790,42119,LDC02
150810,42131,LDC02
150890,42139,LDC02
150910,42141,LDC02
150990,42142,LDC02
151000,42149,LDC02
151110,42221,LDC02
151190,42229,LDC02
151211,42151,LDC02
151219,42159,LDC02
151221,42121,LDC02
151229,42129,LDC02
151311,42231,LDC02
151319,42239,LDC02
151321,42241,LDC02
151329,42249,LDC02
151411,42171,LDC02
151419,42179,LDC02
151491,42171,LDC02
151499,42179,LDC02
151511,42211,LDC02
151519,42219,LDC02
151521,42161,LDC02
151529,42169,LDC02
151530,4225,LDC02
151550,4218,LDC02
151590,42299,LDC02
151610,43121,LDC02
151620,43122,LDC02
151710,09101,LDC01
151790,09109,LDC01
151800,4311,LDC02
152000,51222,LDC07
152110,43141,LDC02
152190,43142,LDC02
152200,43133,LDC02
160100,0172,LDC02
160210,09811,LDC02
160220,0173,LDC02
160231,0174,LDC02
160232,0174,LDC02
160239,0174,LDC02
160241,0175,LDC02
160242,0175,LDC02
160249,0175,LDC02
160250,0176,LDC02
160290,0179,LDC02
160300,0171,LDC02
160411,03711,LDC02
160412,03712,LDC02
160413,03712,LDC02
160414,03713,LDC02
160415,03714,LDC02
160416,03715,LDC02
160417,03715,LDC02
160419,03715,LDC02
160420,03716,LDC02
160431,03717,LDC02
160432,03717,LDC02
160510,03721,LDC02
160521,03721,LDC02
160529,03721,LDC02
160530,03721,LDC02
160540,03721,LDC02
160551,03722,LDC02
160552,03722,LDC02
160553,03722,LDC02
160554,03722,LDC02
160555,03722,LDC02
160556,03722,LDC02
160557,03722,LDC02
160558,03722,LDC02
160559,03722,LDC02
160561,03722,LDC02
160562,03722,LDC02
160563,03722,LDC02
160569,03722,LDC02
170112,06112,LDC02
170113,06111,LDC02
170114,06111,LDC02
170191,06121,LDC02
170199,06129,LDC02
170211,06191,LDC02
170219,06191,LDC02
170220,06192,LDC02
170230,06193,LDC02
170240,06194,LDC02
170250,06195,LDC02
170260,06196,LDC02
170290,06199,LDC02
170310,06151,LDC02
170390,06159,LDC02
170410,06221,LDC02
170490,06229,LDC02
180100,0721,LDC01
180200,0725,LDC01
180310,07231,LDC01
180320,07232,LDC01
180400,0724,LDC01
180500,0722,LDC01
180610,0731,LDC02
180620,0732,LDC02
180631,0733,LDC02
180632,0733,LDC02
180690,0739,LDC02
190110,09893,LDC02
190120,0485,LDC02
190190,09894,LDC02
190211,0483,LDC02
190219,0483,LDC02
190220,09891,LDC02
190230,09891,LDC02
190240,09891,LDC02
190300,05645,LDC02
190410,04811,LDC02
190420,04811,LDC02
190430,04812,LDC02
190490,04812,LDC02
190510,04841,LDC02
190520,04842,LDC02
190531,04842,LDC02
190532,04842,LDC02
190540,04841,LDC02
190590,04849,LDC02
200110,05671,LDC02
200190,05671,LDC02
200210,05672,LDC02
200290,05673,LDC02
200310,05674,LDC02
200390,05674,LDC02
200410,05661,LDC02
200490,05669,LDC02
200510,09812,LDC02
200520,05676,LDC02
200540,05679,LDC02
200551,05679,LDC02
200559,05679,LDC02
200560,05679,LDC02
200570,05679,LDC02
200580,05677,LDC02
200591,05679,LDC02
200599,05679,LDC02
200600,0621,LDC02
200710,09813,LDC02
200791,0581,LDC02
200799,0581,LDC02
200811,05892,LDC02
200819,05892,LDC02
200820,05893,LDC02
200830,05894,LDC02
200840,05896,LDC02
200850,05895,LDC02
200860,05895,LDC02
200870,05895,LDC02
200880,05896,LDC02
200891,05896,LDC02
200893,05896,LDC02
200897,05897,LDC02
200899,05896,LDC02
200911,0591,LDC02
200912,0591,LDC02
200919,0591,LDC02
200921,0592,LDC02
200929,0592,LDC02
200931,0593,LDC02
200939,0593,LDC02
200941,05991,LDC02
200949,05991,LDC02
200950,05992,LDC02
200961,05993,LDC02
200969,05993,LDC02
200971,05994,LDC02
200979,05994,LDC02
200981,05995,LDC02
200989,05995,LDC02
200990,05996,LDC02
210111,07131,LDC01
210112,07131,LDC01
210120,07432,LDC01
210130,07133,LDC01
210210,0986,LDC02
210220,0986,LDC02
210230,0986,LDC02
210310,09841,LDC02
210320,09842,LDC02
210330,09843,LDC02
210390,09849,LDC02
210410,0985,LDC02
210420,09814,LDC02
210500,02233,LDC01
210610,09899,LDC02
210690,09899,LDC02
220110,11101,LDC02
220190,11101,LDC02
220210,11102,LDC02
220290,11102,LDC02
220300,1123,LDC02
220410,11215,LDC02
220421,11217,LDC02
220429,11217,LDC02
220430,11211,LDC02
220510,11213,LDC02
220590,11213,LDC02
220600,1122,LDC02
220710,51215,LDC07
220720,51216,LDC07
220820,11242,LDC02
220830,11241,LDC02
220840,11244,LDC02
220850,11245,LDC02
220860,11249,LDC02
220870,11249,LDC02
220890,11249,LDC02
220900,09844,LDC02
230110,08141,LDC01
230120,08142,LDC01
230210,08124,LDC01
230230,08126,LDC01
230240,08129,LDC01
230250,08123,LDC01
230310,08151,LDC01
230320,08152,LDC01
230330,08153,LDC01
230400,08131,LDC01
230500,08132,LDC01
230610,08133,LDC01
230620,08134,LDC01
230630,08135,LDC01
230641,08136,LDC01
230649,08136,LDC01
230650,08137,LDC01
230660,08138,LDC01
230690,08139,LDC01
230700,08194,LDC01
230800,08119,LDC01
230910,08195,LDC01
230990,08199,LDC01
240110,1211,LDC01
240120,1212,LDC01
240130,1213,LDC01
240210,1221,LDC02
240220,1222,LDC02
